latitude,longitude
86,923
132,435
523,369
126,441
374,742
489,424
873,377
344,18
533,138
423,968
537,55
548,811
378,217
192,86
825,816
129,887
916,607
433,201
806,265
375,473
997,76
107,32
692,143
337,568
740,849
633,617
931,598
353,112
193,703
395,593
289,847
760,900
303,544
484,866
17,301
532,335
57,620
593,717
869,505
887,382
852,35
202,52
100,484
994,303
769,935
919,211
723,248
892,910
85,285
594,970
569,749
365,96
599,322
935,170
876,584
530,465
973,428
696,153
18,759
657,977
371,393
666,395
272,789
764,132
218,232
333,754
447,7
691,810
92,825
71,469
683,39
774,30
509,826
136,456
179,270
358,316
413,902
188,50
439,459
783,474
473,228
111,33
788,509
649,162
43,289
268,916
478,358
604,901
115,659
201,142
221,497
101,295
347,257
926,947
313,172
550,744
521,486
492,976
693,455
999,929
