latitude,longitude
89,919
955,827
61,670
401,79
166,573
299,275
249,981
869,974
355,938
379,836
831,846
853,668
86,12
408,754
288,444
20,684
871,588
209,312
187,483
791,299
63,866
29,145
190,388
526,857
549,709
397,364
302,310
741,902
189,813
924,688
951,726
251,409
487,627
838,911
184,680
806,714
688,270
642,556
277,404
281,124
959,563
493,703
675,157
122,696
703,932
510,989
735,392
43,338
64,984
459,980
878,421
431,544
468,803
328,961
773,457
465,732
980,410
226,879
937,451
630,608
475,713
312,206
875,896
19,491
858,453
454,352
637,965
467,842
350,87
205,973
903,73
758,626
273,14
547,61
768,889
260,74
511,506
729,343
178,730
995,822
410,115
813,227
931,579
877,103
507,408
594,487
172,959
407,859
862,850
175,890
590,978
530,448
785,869
196,873
474,925
940,192
353,166
472,944
744,757
170,88
